"","NFCSID","STATEQ","A50A","A50B","F1","F2_1","F2_2","F2_3","F2_4","F2_5","F2_6","G1","G35","year","G30"
"1",2024010085,25,2,7,1,1,2,1,2,2,2,2,NA,2024,NA
"2",2024010361,15,2,7,2,2,1,1,1,98,2,1,1,2024,NA
"3",2024010455,25,2,7,2,1,2,2,2,2,2,1,1,2024,NA
"4",2024010847,26,2,7,1,1,2,1,2,2,2,2,4,2024,NA
"5",2024011252,15,2,7,2,2,2,2,2,2,1,2,NA,2024,NA
"6",2024011269,47,1,1,3,1,1,1,1,99,2,2,4,2024,NA
"7",2024011376,25,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"8",2024011422,26,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"9",2024011427,26,1,1,1,1,2,2,2,2,2,2,2,2024,NA
"10",2024011446,47,1,1,1,1,2,1,2,2,2,2,NA,2024,NA
"11",2024011462,25,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"12",2024011497,26,2,7,1,1,2,2,2,2,2,2,NA,2024,NA
"13",2024011717,26,2,7,7,NA,NA,NA,NA,NA,NA,2,2,2024,NA
"14",2024011728,43,1,1,2,1,1,2,2,1,1,2,NA,2024,NA
"15",2024011746,1,1,1,2,1,98,1,98,1,1,98,98,2024,NA
"16",2024011756,15,2,7,2,1,2,2,2,1,2,1,NA,2024,NA
"17",2024011979,47,1,1,2,1,2,1,2,1,1,1,4,2024,NA
"18",2024011981,1,1,1,2,1,98,1,2,2,2,2,NA,2024,NA
"19",2024011996,15,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"20",2024012001,25,2,7,5,1,2,2,2,2,1,2,NA,2024,NA
"21",2024012004,26,2,7,2,1,2,2,98,1,2,2,NA,2024,NA
"22",2024012097,47,1,1,2,1,2,2,2,2,2,2,NA,2024,NA
"23",2024012110,47,1,1,1,1,2,1,2,2,2,1,NA,2024,NA
"24",2024012389,15,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"25",2024012394,15,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"26",2024012418,25,1,1,4,1,2,2,1,2,1,2,NA,2024,NA
"27",2024012443,26,1,1,1,2,1,2,1,1,2,2,NA,2024,NA
"28",2024013324,25,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"29",2024013350,15,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"30",2024013366,43,2,7,1,2,1,2,2,2,2,2,NA,2024,NA
"31",2024013491,25,2,7,3,98,98,98,98,98,98,2,NA,2024,NA
"32",2024013537,43,2,7,2,1,2,1,2,2,2,2,NA,2024,NA
"33",2024013549,1,1,1,7,NA,NA,NA,NA,NA,NA,2,1,2024,NA
"34",2024013670,15,2,7,1,1,1,2,2,2,2,2,NA,2024,NA
"35",2024013776,15,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"36",2024014099,1,2,7,1,1,2,2,2,2,2,2,1,2024,NA
"37",2024014622,47,2,7,1,1,2,1,2,2,2,2,1,2024,NA
"38",2024014709,1,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"39",2024015189,15,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"40",2024015259,43,1,1,7,NA,NA,NA,NA,NA,NA,2,2,2024,NA
"41",2024016174,43,2,7,2,2,2,2,2,2,2,2,NA,2024,NA
"42",2024016196,26,2,7,7,NA,NA,NA,NA,NA,NA,98,NA,2024,NA
"43",2024017239,26,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"44",2024017294,25,1,1,1,2,2,1,1,1,2,2,1,2024,NA
"45",2024017689,26,2,7,3,2,1,2,2,2,2,2,2,2024,NA
"46",2024017741,25,2,7,1,2,1,2,2,2,2,2,1,2024,NA
"47",2024017906,26,2,7,2,1,1,98,2,2,2,2,NA,2024,NA
"48",2024018144,25,1,1,1,99,99,99,99,99,99,2,NA,2024,NA
"49",2024018227,25,2,7,2,1,2,2,2,2,2,2,NA,2024,NA
"50",2024018297,15,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"51",2024018365,25,2,7,1,1,2,1,2,2,2,2,NA,2024,NA
"52",2024018409,25,2,7,2,1,2,2,2,2,2,2,NA,2024,NA
"53",2024018476,25,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"54",2024018797,43,2,7,2,1,2,1,2,2,2,2,NA,2024,NA
"55",2024019041,26,2,7,1,1,2,1,2,2,2,2,NA,2024,NA
"56",2024019046,43,2,7,1,98,98,2,2,2,1,2,NA,2024,NA
"57",2024019139,25,2,7,3,1,2,2,2,2,1,2,NA,2024,NA
"58",2024019146,25,2,7,1,1,1,2,2,2,1,2,3,2024,NA
"59",2024019182,25,2,7,1,1,2,2,2,2,1,2,NA,2024,NA
"60",2024019216,25,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"61",2024019267,25,2,7,3,1,2,99,98,1,1,1,3,2024,NA
"62",2024019325,25,1,1,2,1,1,98,2,98,98,2,NA,2024,NA
"63",2024019385,25,2,7,7,NA,NA,NA,NA,NA,NA,1,3,2024,NA
"64",2024019524,25,2,7,2,1,98,1,98,2,1,2,NA,2024,NA
"65",2024019700,25,2,7,1,2,1,1,1,1,98,2,NA,2024,NA
"66",2024019869,25,2,7,7,NA,NA,NA,NA,NA,NA,98,NA,2024,NA
"67",2024019879,25,2,7,7,NA,NA,NA,NA,NA,NA,1,NA,2024,NA
"68",2024019940,25,2,7,3,1,2,1,1,2,1,2,NA,2024,NA
"69",2024019967,25,2,7,1,1,2,2,2,2,2,2,NA,2024,NA
"70",2024020019,43,2,7,1,1,2,2,2,2,2,2,NA,2024,NA
"71",2024020027,43,2,7,2,2,1,1,1,2,2,2,98,2024,NA
"72",2024020043,26,2,7,2,2,1,1,1,2,2,2,1,2024,NA
"73",2024020060,26,2,7,2,1,98,2,2,2,2,2,1,2024,NA
"74",2024020076,47,2,7,1,1,2,2,2,2,1,2,2,2024,NA
"75",2024020081,26,1,1,2,2,2,1,2,2,2,2,4,2024,NA
"76",2024020082,26,2,7,1,2,2,1,2,2,2,2,NA,2024,NA
"77",2024020104,26,2,7,1,1,2,2,2,2,2,2,NA,2024,NA
"78",2024020106,25,2,7,2,1,2,2,1,2,2,2,3,2024,NA
"79",2024020152,15,1,1,1,1,2,2,2,2,2,2,NA,2024,NA
"80",2024020176,26,2,7,2,2,2,1,1,1,2,2,NA,2024,NA
"81",2024020179,47,2,7,1,1,2,1,2,1,1,2,NA,2024,NA
"82",2024020182,43,1,1,2,1,1,1,1,1,1,2,3,2024,NA
"83",2024020193,26,2,7,3,1,1,1,1,1,1,1,1,2024,NA
"84",2024020199,43,1,1,2,1,2,1,1,2,2,2,NA,2024,NA
"85",2024020202,43,2,7,7,NA,NA,NA,NA,NA,NA,1,NA,2024,NA
"86",2024020213,25,2,7,2,2,2,2,2,2,2,2,4,2024,NA
"87",2024020235,25,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"88",2024020245,15,2,7,2,1,2,2,2,2,2,2,1,2024,NA
"89",2024020262,26,2,7,1,2,1,1,1,2,2,1,NA,2024,NA
"90",2024020272,43,2,7,3,98,98,98,98,98,98,2,98,2024,NA
"91",2024020277,15,2,7,1,1,1,1,1,2,2,1,1,2024,NA
"92",2024020278,15,2,7,7,NA,NA,NA,NA,NA,NA,98,NA,2024,NA
"93",2024020279,15,2,7,1,1,2,2,2,2,2,2,NA,2024,NA
"94",2024020303,25,2,7,3,1,2,2,2,2,2,2,NA,2024,NA
"95",2024020305,43,2,7,2,1,2,1,2,1,2,2,1,2024,NA
"96",2024020307,43,1,1,1,2,1,1,1,1,1,2,NA,2024,NA
"97",2024020361,25,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"98",2024020384,25,2,7,4,1,1,99,1,99,98,99,4,2024,NA
"99",2024020387,47,2,7,7,NA,NA,NA,NA,NA,NA,2,1,2024,NA
"100",2024020406,47,2,7,1,1,2,2,2,2,2,2,1,2024,NA
"101",2024020407,47,2,7,1,1,2,2,2,2,2,2,1,2024,NA
"102",2024020417,47,1,1,2,1,2,2,2,2,2,2,1,2024,NA
"103",2024020437,43,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"104",2024020450,1,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"105",2024020452,1,2,7,2,2,1,2,1,1,2,2,NA,2024,NA
"106",2024020458,15,1,1,1,1,2,1,2,2,2,2,NA,2024,NA
"107",2024020459,43,2,7,1,2,1,1,2,2,1,1,1,2024,NA
"108",2024020462,26,2,7,7,NA,NA,NA,NA,NA,NA,2,2,2024,NA
"109",2024020469,26,2,7,7,NA,NA,NA,NA,NA,NA,2,1,2024,NA
"110",2024020476,47,2,7,2,2,1,1,2,2,2,2,1,2024,NA
"111",2024020484,25,2,7,2,1,2,2,2,2,2,2,NA,2024,NA
"112",2024020525,15,2,7,1,1,2,1,2,2,2,2,2,2024,NA
"113",2024020532,15,2,7,1,2,1,1,2,2,2,1,1,2024,NA
"114",2024020553,25,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"115",2024020651,47,1,1,1,2,1,1,1,1,2,2,NA,2024,NA
"116",2024020691,1,2,7,3,1,2,2,2,2,2,2,3,2024,NA
"117",2024020735,47,1,1,1,1,2,2,2,2,2,2,1,2024,NA
"118",2024020741,1,2,7,1,2,1,1,2,2,2,2,1,2024,NA
"119",2024020767,26,2,7,1,1,2,1,2,2,2,2,1,2024,NA
"120",2024020768,47,2,7,1,2,1,2,2,2,2,1,NA,2024,NA
"121",2024020773,15,2,7,2,1,1,2,2,2,2,2,NA,2024,NA
"122",2024020776,43,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"123",2024020778,15,2,7,1,1,2,2,2,2,2,2,NA,2024,NA
"124",2024020780,1,2,7,2,2,1,1,2,2,2,1,1,2024,NA
"125",2024020784,1,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"126",2024020859,25,2,7,1,1,2,2,2,2,2,1,NA,2024,NA
"127",2024020867,43,2,7,2,1,2,2,2,2,2,2,2,2024,NA
"128",2024020874,47,2,7,1,1,2,2,2,2,2,2,NA,2024,NA
"129",2024020894,43,2,7,2,1,1,2,1,2,2,2,3,2024,NA
"130",2024021027,26,2,7,2,1,2,2,2,2,2,2,NA,2024,NA
"131",2024021032,1,2,7,1,1,2,2,2,1,1,1,NA,2024,NA
"132",2024021043,15,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"133",2024021046,47,2,7,1,2,1,1,2,2,2,2,1,2024,NA
"134",2024021049,47,1,1,3,1,1,1,1,1,1,1,3,2024,NA
"135",2024021062,26,2,7,1,2,1,1,1,2,2,2,NA,2024,NA
"136",2024021076,15,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"137",2024021081,47,2,7,1,1,2,1,2,2,2,2,1,2024,NA
"138",2024021087,43,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"139",2024021100,26,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"140",2024021114,25,1,1,2,1,1,1,2,2,2,2,NA,2024,NA
"141",2024021130,1,2,7,1,2,1,1,2,2,2,2,1,2024,NA
"142",2024021131,47,2,7,1,1,2,1,1,2,2,2,NA,2024,NA
"143",2024021166,47,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"144",2024021181,1,1,1,1,1,2,2,1,98,1,2,NA,2024,NA
"145",2024021186,15,2,7,2,1,2,2,2,2,2,2,1,2024,NA
"146",2024021187,15,2,7,7,NA,NA,NA,NA,NA,NA,2,1,2024,NA
"147",2024021201,25,2,7,3,1,1,2,2,2,2,1,NA,2024,NA
"148",2024021202,15,2,7,1,1,98,1,2,98,2,2,NA,2024,NA
"149",2024021226,25,1,1,5,98,98,98,2,98,2,98,2,2024,NA
"150",2024021244,15,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"151",2024021253,15,2,7,1,1,2,2,2,2,2,2,NA,2024,NA
"152",2024021265,25,1,1,3,1,1,2,2,2,2,2,2,2024,NA
"153",2024021281,1,2,7,1,1,1,1,1,1,1,1,2,2024,NA
"154",2024021313,47,2,7,2,1,2,2,2,2,2,2,1,2024,NA
"155",2024021318,1,2,7,1,99,2,1,2,2,98,98,1,2024,NA
"156",2024021322,43,1,1,1,1,1,1,1,1,1,1,NA,2024,NA
"157",2024021345,43,2,7,7,NA,NA,NA,NA,NA,NA,2,2,2024,NA
"158",2024021354,26,2,7,2,2,1,2,1,2,2,2,NA,2024,NA
"159",2024021365,47,2,7,1,1,1,1,1,2,1,1,4,2024,NA
"160",2024021396,26,1,1,2,1,1,1,2,2,2,1,1,2024,NA
"161",2024021418,25,1,1,2,2,1,1,1,2,2,2,NA,2024,NA
"162",2024021419,25,1,1,2,1,2,2,2,98,2,2,NA,2024,NA
"163",2024021935,25,2,7,2,1,1,2,1,1,2,2,NA,2024,NA
"164",2024021962,25,1,1,1,1,1,1,2,1,2,2,2,2024,NA
"165",2024021978,25,1,1,1,1,1,1,1,1,2,2,NA,2024,NA
"166",2024022371,25,1,1,7,NA,NA,NA,NA,NA,NA,98,NA,2024,NA
"167",2024022402,25,1,1,2,1,1,2,2,2,1,2,NA,2024,NA
"168",2024022477,1,2,7,3,2,1,99,1,2,1,1,NA,2024,NA
"169",2024022536,1,2,7,3,2,1,1,1,1,2,1,3,2024,NA
"170",2024022604,1,2,7,4,1,2,1,98,2,1,1,4,2024,NA
"171",2024022731,1,2,7,7,NA,NA,NA,NA,NA,NA,2,98,2024,NA
"172",2024022904,1,2,7,1,1,98,1,98,98,2,2,NA,2024,NA
"173",2024022974,26,2,7,1,1,2,2,2,2,2,2,NA,2024,NA
"174",2024023017,25,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"175",2024023534,1,2,7,7,NA,NA,NA,NA,NA,NA,2,4,2024,NA
"176",2024023632,1,2,7,6,98,99,98,2,1,2,1,2,2024,NA
"177",2024023639,1,1,1,1,1,98,98,98,98,98,2,NA,2024,NA
"178",2024024929,15,1,1,1,1,1,2,2,2,2,2,NA,2024,NA
"179",2024024963,43,1,1,5,2,1,98,2,1,2,1,NA,2024,NA
"180",2024025012,1,1,1,2,2,1,1,1,1,2,2,NA,2024,NA
"181",2024025030,1,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"182",2024025241,26,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"183",2024025268,15,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"184",2024025376,43,1,1,1,1,2,1,2,2,2,2,NA,2024,NA
"185",2024025628,15,1,1,1,2,1,1,1,1,1,2,2,2024,NA
"186",2024025786,26,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"187",2024025927,43,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"188",2024026027,1,1,1,2,1,2,1,1,1,2,2,NA,2024,NA
"189",2024026133,26,2,7,1,2,1,1,2,2,2,1,NA,2024,NA
"190",2024026201,15,1,1,2,1,2,1,2,2,2,2,NA,2024,NA
"191",2024026277,26,1,1,2,1,98,2,2,2,1,2,NA,2024,NA
"192",2024026300,26,2,7,2,2,1,1,1,1,2,2,NA,2024,NA
"193",2024026301,43,2,7,1,2,1,1,2,2,2,2,1,2024,NA
"194",2024026384,1,1,1,3,98,98,2,98,98,98,2,NA,2024,NA
"195",2024026592,15,1,1,2,1,1,1,2,2,1,2,NA,2024,NA
"196",2024026634,43,1,1,3,1,1,1,1,1,1,1,4,2024,NA
"197",2024026774,1,1,1,2,1,1,1,2,2,1,1,NA,2024,NA
"198",2024026780,1,1,1,1,2,1,1,1,1,1,2,NA,2024,NA
"199",2024026911,15,1,1,4,1,1,1,1,1,1,1,2,2024,NA
"200",2024026929,1,1,1,4,2,99,98,99,99,1,2,4,2024,NA
"201",2024026986,15,1,1,1,2,1,1,1,1,1,2,NA,2024,NA
"202",2024026989,43,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"203",2024027114,43,1,1,98,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"204",2024027144,15,1,1,2,1,2,2,2,2,2,2,NA,2024,NA
"205",2024027158,15,1,1,2,1,2,2,2,2,1,2,NA,2024,NA
"206",2024027177,1,2,7,2,1,2,1,2,1,2,2,NA,2024,NA
"207",2024027181,15,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"208",2024027215,43,1,1,2,1,2,1,2,2,2,2,NA,2024,NA
"209",2024027224,47,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"210",2024027384,43,1,1,7,NA,NA,NA,NA,NA,NA,2,98,2024,NA
"211",2024027425,47,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"212",2024027660,43,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"213",2024027762,43,1,1,2,1,1,1,1,1,1,2,98,2024,NA
"214",2024027787,47,1,1,2,2,2,1,1,1,2,2,2,2024,NA
"215",2024027788,47,2,7,7,NA,NA,NA,NA,NA,NA,1,NA,2024,NA
"216",2024027838,26,2,7,3,1,98,2,99,1,98,2,2,2024,NA
"217",2024027959,1,2,7,2,1,2,1,2,2,1,2,3,2024,NA
"218",2024027962,1,2,7,2,2,2,1,2,2,2,2,98,2024,NA
"219",2024028056,47,2,7,1,1,2,1,2,2,2,2,1,2024,NA
"220",2024028068,47,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"221",2024028081,47,2,7,1,1,2,2,2,2,2,2,1,2024,NA
"222",2024028084,47,1,1,1,1,2,1,2,2,2,2,NA,2024,NA
"223",2024028160,47,1,1,1,1,2,2,1,2,1,2,NA,2024,NA
"224",2024028345,47,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"225",2024028443,47,1,1,1,2,1,1,1,2,2,2,1,2024,NA
"226",2024028493,1,1,1,1,1,2,1,2,2,2,1,4,2024,NA
"227",2024028541,47,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"228",2024028553,26,1,1,1,2,2,1,1,2,1,2,NA,2024,NA
"229",2024028574,47,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"230",2024028620,47,1,1,2,1,2,2,2,2,2,2,NA,2024,NA
"231",2024028698,47,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"232",2024029299,15,1,1,1,1,2,2,2,2,2,2,2,2024,NA
"233",2024029606,47,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"234",2024029612,26,1,1,1,1,2,2,2,2,2,1,1,2024,NA
"235",2024029652,25,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"236",2024029790,25,1,1,99,NA,NA,NA,NA,NA,NA,1,2,2024,NA
"237",2024029832,25,1,1,1,2,98,99,99,98,99,2,NA,2024,NA
"238",2024029844,26,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"239",2024029968,26,1,1,3,2,98,2,98,98,2,1,2,2024,NA
"240",2024029978,25,1,1,2,1,1,1,2,2,2,1,NA,2024,NA
"241",2024030008,25,1,1,3,98,2,2,98,2,2,2,2,2024,NA
"242",2024030023,1,1,1,7,NA,NA,NA,NA,NA,NA,2,98,2024,NA
"243",2024030063,15,1,1,1,1,2,1,2,2,1,2,NA,2024,NA
"244",2024030181,43,1,1,98,NA,NA,NA,NA,NA,NA,98,NA,2024,NA
"245",2024030186,15,2,7,1,2,1,2,2,2,2,2,3,2024,NA
"246",2024030229,26,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"247",2024030251,25,1,1,3,2,2,2,98,98,2,2,3,2024,NA
"248",2024030355,47,2,7,1,2,98,1,2,2,2,2,NA,2024,NA
"249",2024030441,1,1,1,1,2,1,1,1,2,2,2,3,2024,NA
"250",2024030650,25,1,1,6,1,1,1,1,1,1,1,1,2024,NA
"251",2024030683,26,1,1,1,1,2,2,2,2,2,2,NA,2024,NA
"252",2024030698,1,1,1,1,99,98,2,1,1,2,1,NA,2024,NA
"253",2024030830,1,1,1,2,2,1,1,2,2,2,2,1,2024,NA
"254",2024030868,15,1,1,3,98,1,1,2,98,1,1,NA,2024,NA
"255",2024030876,43,1,1,5,2,2,1,1,2,1,1,3,2024,NA
"256",2024030890,15,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"257",2024030900,1,1,1,3,1,1,1,1,1,1,2,NA,2024,NA
"258",2024030907,1,2,7,7,NA,NA,NA,NA,NA,NA,98,NA,2024,NA
"259",2024030919,15,1,1,99,NA,NA,NA,NA,NA,NA,99,NA,2024,NA
"260",2024030975,26,1,1,1,1,98,98,98,98,98,2,NA,2024,NA
"261",2024030979,47,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"262",2024030984,15,2,7,1,2,1,1,1,2,1,2,NA,2024,NA
"263",2024030995,1,1,1,2,1,1,2,2,2,1,2,NA,2024,NA
"264",2024031000,26,1,1,2,1,2,1,2,2,2,2,NA,2024,NA
"265",2024031020,15,1,1,1,2,1,2,1,99,2,1,NA,2024,NA
"266",2024031047,1,2,7,7,NA,NA,NA,NA,NA,NA,2,98,2024,NA
"267",2024031066,15,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"268",2024031084,43,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"269",2024031085,25,1,1,1,1,2,2,1,2,2,2,NA,2024,NA
"270",2024031090,1,1,1,2,1,1,1,2,1,1,2,NA,2024,NA
"271",2024031111,26,1,1,7,NA,NA,NA,NA,NA,NA,2,2,2024,NA
"272",2024031115,47,2,7,2,2,1,1,1,1,2,1,NA,2024,NA
"273",2024031166,43,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"274",2024031429,47,1,1,1,1,2,2,2,2,2,2,NA,2024,NA
"275",2024031579,1,2,7,1,1,1,98,2,2,2,2,NA,2024,NA
"276",2024031647,1,2,7,1,2,1,1,1,1,2,2,1,2024,NA
"277",2024031695,1,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"278",2024031703,15,2,7,98,NA,NA,NA,NA,NA,NA,98,NA,2024,NA
"279",2024031725,1,1,1,2,2,2,2,2,2,2,2,NA,2024,NA
"280",2024031749,1,2,7,3,2,98,1,2,1,2,2,NA,2024,NA
"281",2024031756,47,1,1,2,1,2,2,2,2,1,2,NA,2024,NA
"282",2024031758,15,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"283",2024031788,1,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"284",2024031803,1,2,7,2,2,2,2,2,2,1,2,1,2024,NA
"285",2024031832,25,1,1,2,1,2,2,2,2,1,2,NA,2024,NA
"286",2024031863,1,1,1,3,1,1,1,1,1,1,1,1,2024,NA
"287",2024031940,15,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"288",2024031955,1,1,1,7,NA,NA,NA,NA,NA,NA,2,4,2024,NA
"289",2024031983,15,2,7,1,1,2,2,2,2,1,1,4,2024,NA
"290",2024032026,43,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"291",2024032078,1,2,7,1,1,2,2,2,2,2,2,NA,2024,NA
"292",2024032195,1,1,1,1,1,2,1,2,2,2,1,NA,2024,NA
"293",2024032206,1,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"294",2024032243,1,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"295",2024032244,15,1,1,98,NA,NA,NA,NA,NA,NA,98,NA,2024,NA
"296",2024032272,15,1,1,1,1,1,1,2,98,98,1,3,2024,NA
"297",2024032382,15,1,1,5,1,2,1,98,99,1,1,2,2024,NA
"298",2024032392,1,1,1,1,1,1,1,1,2,1,2,1,2024,NA
"299",2024032400,1,2,7,1,1,98,1,1,2,2,2,NA,2024,NA
"300",2024032429,1,1,1,2,1,2,2,2,2,2,2,2,2024,NA
"301",2024032439,25,1,1,2,1,98,98,2,1,2,2,3,2024,NA
"302",2024032478,25,1,1,3,1,2,2,1,2,1,2,NA,2024,NA
"303",2024032481,43,1,1,2,1,2,2,2,2,2,2,NA,2024,NA
"304",2024032594,25,1,1,1,2,1,2,1,1,1,2,NA,2024,NA
"305",2024032639,26,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"306",2024032778,25,1,1,7,NA,NA,NA,NA,NA,NA,98,2,2024,NA
"307",2024032787,43,2,7,2,2,1,1,2,2,2,1,NA,2024,NA
"308",2024032827,25,1,1,4,1,98,1,99,98,99,1,4,2024,NA
"309",2024032905,47,2,7,2,2,1,1,1,1,1,1,NA,2024,NA
"310",2024032911,47,2,7,1,1,2,2,2,2,2,1,NA,2024,NA
"311",2024032919,43,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"312",2024032949,26,1,1,7,NA,NA,NA,NA,NA,NA,2,4,2024,NA
"313",2024032961,47,2,7,2,1,2,1,2,2,2,2,98,2024,NA
"314",2024032992,43,1,1,2,1,98,98,2,98,98,2,3,2024,NA
"315",2024032998,43,2,7,1,1,2,2,2,2,2,2,NA,2024,NA
"316",2024033103,25,1,1,1,1,2,2,2,2,2,2,NA,2024,NA
"317",2024033106,15,2,7,2,1,2,2,2,2,2,1,NA,2024,NA
"318",2024033116,1,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"319",2024033207,26,1,1,1,1,2,2,2,2,2,1,1,2024,NA
"320",2024033226,25,1,1,4,1,1,1,2,2,1,1,1,2024,NA
"321",2024033227,26,1,1,4,98,98,1,2,1,1,2,2,2024,NA
"322",2024033228,43,1,1,7,NA,NA,NA,NA,NA,NA,98,NA,2024,NA
"323",2024033237,43,2,7,5,1,1,1,1,1,1,1,4,2024,NA
"324",2024033301,43,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"325",2024033343,25,1,1,2,1,1,1,2,2,1,2,NA,2024,NA
"326",2024033453,43,2,7,2,1,1,98,1,2,2,2,NA,2024,NA
"327",2024033456,43,2,7,1,2,1,1,2,2,2,2,NA,2024,NA
"328",2024033463,43,2,7,1,1,2,2,2,2,2,2,NA,2024,NA
"329",2024033474,15,2,7,1,98,98,98,98,98,98,98,NA,2024,NA
"330",2024033887,47,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"331",2024033950,15,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"332",2024034522,15,1,1,2,1,2,2,1,2,1,1,2,2024,NA
"333",2024034537,15,1,1,1,2,1,1,2,1,2,1,NA,2024,NA
"334",2024034544,15,1,1,1,1,2,2,2,2,2,2,NA,2024,NA
"335",2024034665,15,1,1,7,NA,NA,NA,NA,NA,NA,2,NA,2024,NA
"336",2021010325,25,2,7,2,1,2,2,1,2,2,2,NA,2021,NA
"337",2021010357,43,2,7,5,98,99,1,2,2,1,1,1,2021,NA
"338",2021010381,15,1,1,4,98,2,98,2,1,2,2,2,2021,NA
"339",2021010413,1,2,7,7,NA,NA,NA,NA,NA,NA,2,NA,2021,NA
"340",2021010688,43,2,7,2,1,2,98,98,98,1,2,2,2021,NA
"341",2021010733,47,1,1,1,1,2,2,1,2,2,2,NA,2021,NA
"342",2021010748,25,2,7,2,1,2,2,2,1,1,1,3,2021,NA
"343",2021010895,26,1,1,1,98,98,98,98,98,98,2,NA,2021,NA
"344",2021010954,26,2,7,1,1,1,1,1,1,1,1,3,2021,NA
